"","x"
"1269",10
"1270",8
"1271",8
"1272",10
"1273",12
"1274",8
"1275",6
"1276",12
"1277",10
"1278",10
"1279",10
"1280",8
"1281",12
"1282",8
"1283",12
"1284",6
"1285",8
"1286",8
"1287",14
"1288",8
"1289",14
"1290",8
"1291",10
"1292",10
"1293",10
"1294",8
"1295",12
"1296",6
"1297",12
"1298",12
"1299",14
"1300",10
"1301",14
"1302",14
"1303",6
"1304",10
"1305",10
"1306",14
"1307",10
"1308",10
"1309",10
"1310",10
"1311",10
"1312",8
"1313",10
"1314",10
"1315",12
"1316",14
"1317",10
"1318",8
"1319",10
"1320",10
"1321",14
"1322",10
"1323",12
"1324",10
"1325",8
"1326",6
"1327",6
"1328",6
"1329",12
"1330",10
"1331",10
"1332",10
"1333",12
"1334",12
"1335",8
"1336",12
"1337",12
"1338",10
"1339",8
"1340",10
"1341",12
"1342",6
"1343",8
"1344",8
"1345",10
"1346",10
"1347",10
"1348",10
"1349",8
"1350",14
"1351",8
"1352",8
"1353",10
"1354",14
"1355",12
"1356",8
"1357",8
"1358",10
"1359",12
"1360",10
"1361",12
"1362",8
"1363",8
"1364",10
"1365",8
"1366",12
"1367",8
"1368",10
"1369",10
"1370",8
"1371",8
"1372",6
"1373",10
"1374",4
"1375",12
"1376",12
"1377",6
"1378",10
"1379",8
"1380",12
"1381",6
"1382",8
"1383",10
"1384",12
"1385",8
"1386",10
"1387",10
"1388",8
"1389",14
"1390",4
"1391",10
"1392",14
"1393",10
"1394",12
"1395",6
"1396",12
"1397",12
"1398",12
"1399",6
"1400",12
"1401",12
"1402",6
"1403",8
"1404",14
"1405",8
"1406",10
"1407",14
"1408",14
"1409",10
"1410",12
"1411",10
"1412",8
"1413",12
"1414",12
"1415",12
"1416",6
"1417",12
"1418",8
"1419",6
"1420",14
"1421",0
"1422",12
"1423",10
"1424",12
"1425",8
"1426",6
"1427",10
"1428",10
"1429",8
"1430",10
"1431",10
"1432",12
"1433",10
"1434",6
"1435",12
"1436",10
"1437",8
"1438",12
"1439",8
"1440",12
"1441",8
"1442",14
"1443",6
"1444",10
"1445",8
"1446",8
"1447",12
"1448",8
"1449",12
"1450",10
"1451",12
"1452",12
"1453",12
"1454",2
"1455",10
"1456",12
"1457",14
"1458",10
"1459",10
"1460",12
"1461",10
"1462",8
"1463",10
"1464",8
"1465",12
"1466",8
"1467",10
"1468",6
"1469",10
"1470",8
"1471",12
"1472",6
"1473",14
"1474",10
"1475",12
"1476",10
"1477",12
"1478",8
"1479",8
"1480",14
"1481",10
"1482",10
"1483",12
"1484",8
"1485",6
"1486",8
"1487",10
"1488",10
"1489",10
"1490",10
"1491",4
"1492",8
"1493",10
"1494",12
"1495",10
"1496",10
"1497",12
"1498",8
"1499",12
"1500",12
"1501",4
"1502",8
"1503",12
"1504",6
"1505",6
"1506",12
"1507",12
"1508",12
"1509",14
"1510",6
"1511",8
"1512",10
"1513",10
"1514",8
"1515",14
"1516",8
"1517",6
"1518",12
"1519",14
"1520",6
"1521",10
"1522",8
"1523",12
"1524",10
"1525",4
"1526",10
"1527",8
"1528",10
"1529",14
"1530",12
"1531",10
"1532",10
"1533",14
"1534",6
"1535",10
"1536",12
"1537",12
"1538",12
"1539",12
"1540",8
"1541",12
"1542",12
"1543",12
"1544",10
"1545",14
"1546",14
"1547",8
"1548",14
"1549",10
"1550",8
"1551",12
"1552",10
"1553",12
"1554",10
"1555",10
"1556",10
"1557",12
"1558",8
"1559",10
"1560",6
"1561",12
"1562",8
"1563",10
"1564",8
"1565",14
"1566",6
"1567",8
"1568",10
"1569",4
"1570",8
"1571",14
"1572",6
"1573",12
"1574",12
"1575",8
"1576",12
"1577",10
"1578",10
"1579",4
"1580",12
"1581",12
"1582",14
"1583",10
"1584",8
"1585",12
"1586",10
"1587",10
"1588",10
"1589",14
"1590",12
"1591",10
"1592",8
"1593",12
"1594",10
"1595",8
"1596",12
"1597",10
"1598",12
"1599",12
"1600",14
"1601",10
"1602",14
"1603",12
"1604",10
"1605",12
"1606",8
"1607",12
"1608",8
"1609",6
"1610",8
"1611",12
"1612",12
"1613",10
"1614",8
"1615",10
"1616",12
"1617",10
"1618",10
"1619",10
"1620",10
"1621",6
"1622",14
"1623",14
"1624",12
"1625",10
"1626",8
"1627",10
"1628",6
"1629",8
"1630",12
"1631",10
"1632",10
"1633",10
"1634",6
"1635",6
"1636",8
"1637",10
"1638",12
"1639",8
"1640",12
"1641",8
"1642",10
"1643",14
"1644",6
"1645",10
"1646",10
"1647",6
"1648",8
"1649",8
"1650",12
"1651",12
"1652",10
"1653",14
"1654",6
"1655",14
"1656",12
"1657",12
"1658",10
"1659",12
"1660",12
"1661",6
"1662",6
"1663",8
"1664",8
"1665",8
"1666",8
"1667",12
"1668",10
"1669",8
"1670",8
"1671",8
"1672",10
"1673",12
"1674",12
"1675",10
"1676",10
"1677",12
"1678",6
"1679",12
"1680",12
"1681",12
"1682",8
"1683",10
"1684",10
"1685",12
"1686",8
"1687",10
"1688",8
"1689",12
"1690",12
"1691",8
"1692",10
