"","x"
"369",23836.1330546075
"370",22951.5131012226
"371",22894.1766542469
"372",31509.2250403904
"373",18791.3246812223
"374",12737.4068120049
"375",14538.7064561915
"376",23745.0993272621
"377",12682.4125137496
"378",13953.1474679632
"379",21794.0065366799
"380",18838.4940455235
"381",26531.1353553788
"382",40678.2086934475
"383",25045.719437185
"384",18903.9628553809
"385",22314.3160184318
"386",18278.278655041
"387",23640.5363790155
"388",8343.63283853589
"389",18313.1777401104
"390",23236.1999447957
"391",15588.4622737574
"392",18772.5942822488
"393",14197.7539151392
"394",19822.6086874201
"395",21761.6712853912
"396",18217.9737799587
"397",25217.3176367855
"398",21414.0733761813
"399",26161.0678686256
"400",34279.0535572222
"401",17128.5669339136
"402",19904.7451437282
"403",22539.7702311948
"404",13492.5959719794
"405",27701.0149343536
"406",27961.6729816146
"407",23855.8678059679
"408",19792.2196110294
"409",23983.5649404533
"410",15742.5457668595
"411",14463.8071091263
"412",39038.3341683743
"413",16262.7133925358
"414",24171.4533474932
"415",25637.8147029178
"416",15749.7384701526
"417",15211.1826977597
"418",19919.1807462481
"419",22288.6699671159
"420",29041.8066543903
"421",14931.0604411729
"422",14020.7737736027
"423",20392.5257845809
"424",17718.2498720141
"425",28354.3370792509
"426",24781.7912301317
"427",14811.1829552659
"428",18574.6021306303
"429",18042.9753404621
"430",19478.1661776425
"431",34717.0316507013
"432",20460.402750149
"433",19384.9931421158
"434",36607.4721951161
"435",19563.3124609198
"436",45713.8270242901
"437",19279.7963539986
"438",14357.016679922
"439",16255.5558116204
"440",15974.9778576935
"441",39732.9113977863
"442",36267.5599392808
"443",17982.4652470649
"444",13488.8974766671
"445",33645.4499687091
"446",26961.9333580506
"447",29293.659049152
"448",17094.2580440361
"449",12498.4723707793
"450",23141.1759166609
"451",27688.8600447923
"452",18650.4768539224
"453",24650.2324950644
"454",16605.5096229162
"455",33834.1909106569
"456",38679.4027427701
"457",25277.2501439749
"458",15698.7685382062
"459",25057.7090527827
"460",11982.0155235374
"461",26219.2304267684
"462",41061.1084291118
"463",16127.7756032301
"464",23721.8241661752
"465",14860.5110956443
"466",17558.7920365454
"467",19869.6400742962
"468",24420.1544293516
"469",26093.3627521839
"470",13460.7364022092
"471",21285.9650412173
"472",18593.6028058277
"473",16047.1699353076
"474",22006.3251078635
"475",21226.1479441074
"476",38454.0201512638
"477",16154.8035129432
"478",20949.2203591858
"479",15621.1864061751
"480",31085.73494028
"481",19795.2194215896
"482",19578.9348999219
"483",24351.3840539563
"484",18020.3837793399
"485",19461.4947531292
"486",24940.4886840889
"487",18590.4826560656
"488",14279.0391141245
"489",22851.754647438
"490",13121.4576174004
"491",28541.5233471021
"492",14261.9600238326
"493",33219.8999062306
"494",36050.8220070019
"495",36867.7906993708
"496",29720.063013453
"497",26211.5521693138
"498",32571.2070497706
"499",29114.9009812047
"500",31891.8733828632
"501",36252.6359901357
"502",9564.21743279653
"503",22046.6487281403
"504",17216.5396752277
"505",12244.0990060217
"506",15838.5397286551
"507",30099.7757429103
"508",18324.414021546
"509",21277.1780159401
"510",14388.3908559156
"511",15936.7444178271
"512",18941.4589659505
"513",14914.1890089367
"514",16301.4733696662
"515",32700.6833371859
"516",16357.8047956864
"517",33424.6288897592
"518",17909.3233151269
"519",23582.0612724641
"520",15828.0318264485
"521",23238.8582344191
"522",20027.1396169928
"523",10524.2861485399
"524",20075.0866703144
"525",31507.1749093234
"526",24966.8432086137
"527",23120.0019408346
"528",35819.9875494807
"529",15916.3959516954
"530",16496.6047131379
"531",16533.4221328147
"532",19331.5915379651
"533",25707.8494462179
"534",29436.1735859404
"535",27995.7891233061
"536",16211.7002387651
"537",23018.985968359
"538",32972.5313907465
"539",25480.9590876572
"540",32351.0448902035
"541",18853.7652491757
"542",61460.573056053
"543",29578.032522132
"544",38080.8286075457
"545",13930.3502864664
"546",26329.3378440098
"547",16505.1503303409
"548",29232.6914913075
"549",16765.8228710047
"550",18241.1246628874
"551",18634.1500746208
"552",12550.1996460248
"553",16269.3462630779
"554",22828.5574140583
"555",37404.0823787329
"556",23218.7611783501
"557",19095.5155815707
"558",29899.1838632668
"559",15579.5304972895
"560",34405.3439637593
"561",37321.5896910692
"562",15152.5912742852
"563",14451.0361868274
"564",14302.5916366574
"565",19104.6939614774
"566",28334.5928229957
"567",18757.5787137577
"568",24585.86079381
"569",25653.998278494
"570",38255.153696629
"571",16940.1148034959
"572",17846.044488552
"573",20543.4138832552
"574",20310.8951469007
"575",42040.8366833934
"576",33461.031694191
"577",22972.858191566
"578",18399.0631761836
"579",10719.7934924045
"580",17422.4414614218
"581",15894.5264965278
"582",14603.4125978633
"583",18351.8412052035
"584",30128.7106130877
"585",31770.3069405776
"586",16188.5821311225
"587",15189.4928499901
"588",15184.9514063267
"589",46356.3941290481
"590",23706.128808993
"591",26966.951101414
"592",22916.4391664368
"593",18033.66312763
"594",10920.3735954016
"595",21142.5171116789
"596",32192.9903163379
"597",26326.9090639678
"598",16230.8362831366
"599",34703.5421506904
"600",21898.6769418514
"601",21956.587107988
"602",18312.0545064944
"603",22570.7568266044
"604",19474.1316213077
"605",42143.1702475448
"606",29560.102933831
"607",23498.2330027283
"608",17930.444667018
"609",31240.9079940732
"610",27986.0788327348
"611",24656.2637640746
"612",25600.1191110724
"613",20161.1464784811
"614",29473.9381466342
"615",18041.5180567918
"616",25486.4200655031
"617",16383.2655961735
"618",12025.8622688206
"619",24799.175798475
"620",21451.0443657257
"621",17683.4125029396
"622",13019.3882569442
"623",17321.4520389054
"624",23342.7944938336
"625",18546.4883074854
"626",22160.8731052222
"627",17607.9060963566
"628",23055.1842878183
"629",21012.5867355266
"630",20315.7989275817
"631",27547.5967691567
"632",15613.1292908624
"633",50306.2421270903
"634",31552.3792263469
"635",17930.1401241651
"636",21789.5329949642
"637",18375.5769811459
"638",21243.159425094
"639",13926.5354867658
"640",22171.9027748173
"641",15479.3655531987
"642",29887.6082431256
"643",34485.5832198289
"644",38291.1152546924
"645",22870.1367712951
"646",19124.1751952962
"647",24688.4083576553
"648",46137.0320251973
"649",18155.4049006999
"650",15968.3265249733
"651",17484.429644645
"652",22272.458020789
"653",30800.2994584376
"654",22122.6978344402
"655",24833.275461096
"656",16642.1537800577
"657",27699.9254336328
"658",22665.5846572308
"659",28581.150399579
"660",14373.9803734249
"661",15686.5128678577
"662",18657.3263712276
"663",15828.4360042707
"664",23913.9178705834
"665",14912.2557088434
"666",26301.3354705804
"667",22459.7909227818
"668",26322.2831481511
"669",15449.8675867114
"670",15929.0115559207
"671",11563.5411173501
"672",25247.1856034917
"673",29252.9417957481
"674",14614.4162923153
"675",32109.5645412789
"676",42022.4506841561
"677",32808.6460912135
"678",24774.879330329
"679",15712.4047350956
"680",14521.7479159601
"681",28065.9214890442
"682",18214.3246241598
"683",19517.4843967059
"684",14946.1127821645
"685",20684.8498295147
"686",13754.1936344517
"687",21532.6707625264
"688",20799.870432739
"689",28200.988296871
"690",52052.6465701782
"691",26618.3164943943
"692",17837.6420785994
"693",16942.8828124105
"694",22351.7477453304
"695",23346.6100905986
"696",14312.7377939706
"697",27309.1499016082
"698",17636.0342641951
"699",14915.4945302666
"700",23734.4144078897
"701",13361.607398475
"702",19894.8050049146
"703",17498.8000852142
"704",19323.1733943336
"705",20169.979918791
"706",41913.5586413842
"707",19689.089226641
"708",15133.378307758
"709",27674.9887519201
"710",26963.2629526359
"711",36899.3468309664
"712",23178.5188323874
"713",25389.5465943451
"714",19487.4031264025
"715",16215.7455864463
"716",36124.9891133976
"717",23652.1436394412
"718",36349.3388411935
"719",14764.5399069466
"720",18561.6775290139
"721",28314.4985142454
"722",13444.0571411951
"723",21268.9915625363
"724",19403.8914277747
"725",22357.3334680049
"726",19066.5509157934
"727",34871.5279352452
"728",18596.1100322
"729",15387.2665219637
"730",47872.9503964133
"731",10859.3638699044
"732",21011.8822768265
"733",11924.5789499379
"734",16063.5730798177
"735",21883.9459220061
"736",17491.9687169325
"737",13314.3810377038
"738",18802.8865018312
"739",25406.0449058918
"740",20946.4782390889
"741",19109.6162412799
"742",24709.0652534311
"743",20088.6868379071
"744",18583.7925654463
"745",22611.3870403994
"746",20577.9256495666
"747",18432.0724088378
"748",23485.821771263
"749",20528.7598415609
"750",15362.812037798
"751",19337.341503845
"752",14647.5146936678
"753",23260.6499931141
"754",24716.1670079612
"755",21089.2045427082
"756",29341.6108466877
"757",30241.9860329536
"758",16538.4844454594
"759",25528.4121448185
"760",20169.851874661
"761",26437.4193815493
"762",25083.0685082378
"763",12141.4408380271
"764",21754.1130466745
"765",30439.7531323214
"766",24120.2800744536
"767",39514.1436024478
"768",15146.165965431
"769",13892.3082783321
"770",18941.6534069179
"771",13898.269704578
"772",19909.1871890825
"773",20392.4619915666
"774",19081.9092699922
"775",17260.4270840684
"776",17710.9527420029
"777",18345.3233743164
"778",20158.2952127122
"779",22437.3072610898
"780",19797.8122762532
"781",18234.6898119229
"782",21937.69912307
"783",28575.9825415559
"784",21423.0677339537
"785",16053.6009285063
"786",12737.7010057649
"787",13990.3578697856
"788",18005.9869803878
"789",23662.8741807473
"790",14270.1837202358
"791",24323.3162940758
"792",25877.6112712652
"793",13907.6073608548
"794",16823.2766327579
"795",21009.9814604281
"796",29293.2597628601
"797",20449.7279793936
"798",23812.8107495336
"799",14866.2461507414
"800",23265.9681468783
"801",16976.8901670299
"802",23860.459542882
"803",19231.0896428664
"804",21034.872267002
"805",11674.1295665968
"806",20856.0481192924
"807",24050.5824518177
"808",23616.2686530617
"809",17102.9478360305
"810",29745.5640883951
"811",29184.1359357817
"812",18070.2506330791
"813",28864.3872995742
"814",23175.2099260859
"815",19755.014818551
"816",22507.4066804678
"817",24314.6340102092
"818",10999.2971976671
"819",25291.6577641525
"820",19112.7062082485
"821",23751.4145262371
"822",23197.7108358628
"823",18194.2278766582
"824",18969.175655901
"825",27046.8802789373
"826",26678.0510915501
"827",32455.4309858306
"828",25962.46287091
"829",44504.6493137899
"830",12333.7419677395
"831",16931.4734443134
"832",12938.6566628101
"833",15580.6103753133
"834",19013.4935389032
"835",47278.6752515952
"836",13920.2493846372
"837",21702.5318608534
"838",20489.6119917029
"839",43707.6423197324
"840",18311.6579816944
"841",38560.3154460493
"842",20820.8049480773
"843",18475.2354466341
"844",31725.5205469049
"845",32003.3600630903
"846",32998.098249872
"847",16708.5079624016
"848",16080.2607872539
"849",23730.211560273
"850",17457.5949083824
"851",19427.6006054564
"852",21803.58385014
"853",24670.3300728018
"854",20361.4702552285
"855",12770.1666487025
"856",21758.0137271735
"857",23766.0731233012
"858",18202.8250255349
"859",14375.8501131018
"860",26235.36668579
"861",29530.9630588054
"862",13979.3466044749
"863",22136.7215424106
"864",46509.7535138179
"865",20646.1816720174
"866",16514.5401970764
"867",24168.2939717324
"868",27396.0975094268
"869",18577.7580105625
"870",41611.3609988866
"871",16837.2051563076
"872",18218.7427405901
"873",21948.4885805822
"874",21612.5216867694
"875",17837.0158065463
"876",14033.7181424242
"877",21629.1365117525
"878",16388.2207329937
"879",8481.20483743887
"880",17476.9844503062
"881",39745.3642245936
"882",24876.5323169327
"883",12535.7386849156
"884",15156.4552316272
"885",20075.7442919157
"886",16824.9303513571
"887",21179.2320515147
"888",39931.5043898256
"889",19041.5129331697
"890",13441.4864523191
"891",20332.5564175228
"892",23882.7734463392
"893",21976.0390191106
"894",15940.5347761989
"895",18469.7567404389
"896",12840.1933514726
"897",21877.6393351741
"898",15605.1861099495
"899",15577.4238563352
"900",19671.798681343
"901",34066.7785545751
"902",17647.5203559065
"903",19776.9885696208
"904",22381.8136928019
"905",25434.1675781486
"906",14150.4380434043
"907",27859.437059886
"908",22377.4339804284
"909",17292.1370632952
"910",14105.0355433974
"911",16592.6445930952
"912",18265.9318405154
"913",18722.9474941598
"914",17851.1795166745
"915",20598.0881458767
"916",20020.7727256593
"917",30989.7352673846
"918",57971.1173929696
"919",22460.8856663976
"920",23577.1332555846
"921",26724.2662652795
"922",45146.9749259648
"923",31049.2475000002
"924",29234.555986003
"925",15864.7743609779
"926",48841.4951710931
"927",33820.5270783598
"928",13982.9341003389
"929",26948.2243504611
"930",23480.7835773014
"931",22971.5160469469
"932",25650.0022685927
"933",22875.974888685
"934",16612.0859511594
"935",33953.6974823101
"936",22856.1077293313
"937",14061.1512595972
"938",42098.8506260217
"939",17658.4565102487
"940",20594.5158303967
"941",15700.0503925292
"942",19530.3174398846
"943",22915.9349767523
"944",19954.9961915139
"945",19312.7247404319
"946",20318.3150288881
"947",14129.5626018505
"948",20566.4313799043
"949",18565.4622693616
"950",15151.1475111868
"951",17449.8122220597
"952",75956.3164312659
"953",17932.9883547058
"954",15786.0158843167
"955",23320.1201620559
"956",15446.6753819109
"957",19479.9693694957
"958",14752.0741197477
"959",14564.7561365809
"960",18017.0299214626
"961",27218.9424505924
"962",46559.5600664613
"963",15858.5091718777
"964",21459.7333613623
"965",18415.352700784
"966",16277.6316492716
"967",12544.1584322867
"968",48972.9878306948
"969",17172.8126864594
"970",19978.9152332968
"971",28143.4546382299
"972",32674.888054973
"973",57036.9443590072
"974",31676.1714359146
"975",21104.3342209186
"976",24477.7613920862
"977",27886.9440727514
"978",32165.9800126326
"979",25013.3859253972
"980",29553.8971303828
"981",15797.7091794176
"982",16425.7260521969
"983",18067.3542537557
"984",15438.5540775769
"985",46240.9414129296
"986",20604.8813681316
"987",18019.6084951346
"988",12946.2552111693
"989",12659.2180604909
"990",21796.4620548391
"991",13353.6818554569
"992",33562.6412900353
"993",22271.7399404117
"994",19252.4805878155
